topic_id,topic_abbr,topic,date,standard_id,required_reading,req_chapter,optional_reading,opt_chapter,writing_assignment,project_assignment,slides,link,code
11,infrastructure,Ethnographies of Infrastructure,3/2/22,14;20;4,starEthnographyInfrastructure1999,,lamplandStandardsTheirStories2008;ottingerBucketsResistanceStandards2010;timmermansWorldStandardsNot2010,,,Work on semiotic analysis,Course slides are [here](slides/Day11-Infrastructure.html),,
12,classifications,Sorting Things Out: Cultural Analyses of Categories,3/7/22,14;4;21,bowkerKindnessStrangersKinds1998,,bowkerSortingThingsOut1999;watertonFieldFantasyClassifying2002;kirkseySpeciesPraxiographicStudy2015,,Fieldnote 2;Be sure to get approval for the classification you plan to study or the TED Talks you plan to view for Mini-Project 1.,,,,
13,databases,Cultural Materialities of Data,3/9/22,14;4;21,dourishNoSQLShifting2014,,,,,,,,
14,ghost-work,Data Ghost Work,3/21/22,13;22;5,grayGhostWorkHow2019,Chapter 1,iraniJusticeDataJanitors2015;plantinDataCleanersPristine2019;forsytheConstructionWorkArtificial1993,,,Work on stakholder analysis,Course slides are [here](slides/Day13-Interviewing.html),,
15,expertise,Social Constructions of Expertise in Data Work,3/23/22,13;5;21,birukCookingDataCulture2018,Chapter 2,gierynCulturalBoundariesScience1999,,Mini-Project 1 (Deadline extended to Sunday),,,Here is a link to the [Final Project guide](https://docs.google.com/document/d/13XEU81k8-Hcuaf_kBtlWOotSsqzQMlmjpuIvAzc9vT8/edit?usp=sharing) that Rose developed. ,
16,incentives,Institutional Incentives in Data Reporting,3/28/22,7;22,,,,,,Work on institutional analysis,,,
17,transactions,Economies of Data Production: Gifts and Transactions,3/30/22,7;22,birukCookingDataCulture2018,Chapter 4,gerlitzEconomySocialButtons2013;beerProductiveMeasuresCulture2015,,Fieldnote 3,,,,
18,rituals,How Data Domesticates Us: Rituals for Data Cleaning,4/4/22,15;6;24,ribesDataBiteMan2013,,bowkerBiodiversityDatadiversity2000;walfordRawDataMaking2017;pinkMundaneDataRoutines2017,,,Work on ritual analysis,,,
19,cooking,Cooking Data,4/6/22,15;6;24,,,,,,,,,
20,mobilizing,Mobilizing Data: Making Numbers Actionable,4/11/22,12;8;23,ottingerNewVoicesNew2011,,pinePoliticsMeasurementAction2015;dourishDataficationDataFiction2018,,Mini-Project 2,Work on discourse analysis,Course slides are [here](slides/Day19-Mobilization.html).,,
21,circulation,Data Circulation,4/13/22,12;24;8,,,batesDataJourneysCapturing2016;leonelliPackagingSmallFact2010,,Fieldnote 4,,Course slides are [here](slides/Day20-EthnographicArguments.html),,
22,citizen-science,Mobilizing Data Otherwise: Citizen Science and Sensing ,4/18/22,2;8;9;23,gabrysJustGoodEnough2016,,calvilloPoliticalAirsMonitoring2018;jalbertSenseInfluenceEnvironmental2016,,,First draft due,,,
23,activism,Data Activism and Advocacy,4/20/22,8;9;23,liboironDisasterDataData2015,,brunoStatactivismFormsAction2014;milanAlternativeEpistemologiesData2016;currieConundrumPoliceOfficerinvolved2016,,,,Course slides are [here](slides/Day22-Credibility.html),,
24,ignorance,Data Agnotology: Ignorance and Knowledge Gaps,4/25/22,1;10;23,mimimimimiMissingDataSets2021;milanRiseDataPoor2020,,dignazioDataFeminism2020,,,,Course slides are [here](slides/Day23-Ignorance.html),,
25,power,Data and Algorithmic Power,4/27/22,25;11;23,eubanksChildAbusePrediction2018,,brayneBigDataSurveillance2017;christinEthnographerAlgorithmBlack2020;seaverAlgorithmsCultureTactics2017,,Fieldnote 5,,,,
26,final1,Final Projects,5/2/22,24,,,,,Mini-Project Revisions,,,,
27,final2,Final Projects,5/4/22,24,,,,,Enrichment,Final project due,,,
